id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts305788,The Perfect Mother,SHOW,"Convinced of her daughter's innocence in a homicide, a devoted mother soon uncovers unsettling truths as the line between victim and perpetrator blurs.",2022,TV-MA,49,"['drama', 'thriller']","['FR', 'DE']",1.0,tt15341198,5.9,845.0,14.164,6.0
ts272092,Canine Intervention,SHOW,"Canine Intervention follows renowned Oakland dog trainer, Jas Leverette, as he runs one of the top dog training facilities in California. Cali K9 works with all breeds and are confident in being able to correct any type of behavior issue.",2021,TV-14,36,"['documentation', 'reality']",['US'],1.0,tt13932598,6.5,892.0,5.511,7.0
tm937814,The Alpinist,MOVIE,"When filmmaker Peter Mortimer encounters an elusive young climber named Marc-André Leclerc, an evolution in free solo mountaineering unfolds. Along the two-year journey up high alpine peaks and steep frozen waterfalls, Peter explores Marc’s connection to nature, his uncompromising quest for adventure, and the risks he takes to pursue his passion.",2021,PG-13,92,['documentation'],"['AT', 'GB', 'US']",,tt11790780,8.0,8048.0,8.534,7.7
ts250920,Home Game,SHOW,"This docuseries profiles unique and dangerous traditional sports from around the world, as well as the communities and cultures where they thrive.",2020,TV-MA,29,"['documentation', 'sport']",['US'],1.0,tt12429046,7.0,855.0,2.907,6.4
ts42156,Degrassi: Next Class,SHOW,"Follow a group of high school freshmen, sophomores, juniors, and seniors from Degrassi Community School, a fictional school in Toronto, Ontario, as they encounter some of the typical issues and challenges common to a teenager's life.",2016,TV-PG,24,"['drama', 'romance']",['CA'],6.0,tt5320160,6.8,3285.0,12.075,7.0
tm175909,The Dirty Picture,MOVIE,"After running away from home in search of movie stardom, a village girl rises to become a prominent sex symbol.",2011,,144,"['drama', 'comedy']",['IN'],,tt1954206,6.6,9662.0,7.209,6.3
tm423315,Pacíficum,MOVIE,"Documentary that studies the history, development, fauna and flora of the Peruvian coast.",2017,,74,['documentation'],['PE'],,tt8026108,6.5,128.0,1.119,5.5
tm176553,Doctor Bello,MOVIE,"Cancer specialist Dr. Michael Durant forms an unlikely bond with seven year old Sam and becomes desperate, willing to risk anything to save the child’s life. A surreptitious Nigerian Nurse convinces him to seek the help of Dr. Bello, an uncertified Nigerian Doctor, known in the Brooklyn-African underground as a miracle worker.",2013,,95,"['drama', 'action']","['NG', 'US']",,tt2723358,4.8,54.0,1.802,6.0
tm448479,Aya,MOVIE,"In Tunis lives Aya, a smart little girl, with her Salafist parents. But one day a special event disrupts the life of this family.",2017,,24,['drama'],"['QA', 'TN', 'FR']",,,,,1.737,
ts20288,From Dusk Till Dawn: The Series,SHOW,"The horror and crime thriller genres collide in this new original series from Robert Rodriguez, based on his cult grindhouse classic about bank-robbing brothers on the run, a lawman bent on bringing them to justice, the devout family caught in the cross-fire, and an ancient evil eager to feast on them all.",2014,TV-14,45,"['scifi', 'action', 'crime', 'fantasy', 'horror']",['US'],3.0,tt3337194,6.9,20132.0,24.329,6.3
tm1168932,Taylor Tomlinson: Look at You,MOVIE,"Breakups. Therapy. Bangs. Taylor's gone through some stuff since her quarter-life crisis, and she spins her mental health journey into insightful comedy.",2022,,60,"['comedy', 'documentation']",[],,tt18096250,7.3,2008.0,5.174,7.5
ts243780,Sharkdog,SHOW,"10 year old Max and his best friend Sharkdog - half shark, half dog, all appetite. Blissfully unaware of his own strength, stealth and general sharkiness, Sharkdog often leaves a trail of chaos in his wake.",2021,TV-Y,23,"['animation', 'comedy', 'family']","['SG', 'US']",2.0,tt12211696,5.8,168.0,36.732,9.3
tm957792,The Rope Curse 2,MOVIE,"Jia-min, who was born sensitive to the paranormal, tries to summon ""Yi-A-Gu"" with two streamers. Huo-ge helps Jia-min subdue the spirit when the situation goes out of hand. Huo-ge possesses supernatural powers but lost his will to exorcise demons during a battle with the Thai Demon five years ago. As the wave of suicides continues, the village is thrown into chaos. Another battle is about to begin..",2020,,104,['horror'],[],,tt13212006,4.7,354.0,,
ts75879,Big Mouth,SHOW,Teenage friends find their lives upended by the wonders and horrors of puberty in this edgy comedy from real-life pals Nick Kroll and Andrew Goldberg.,2017,TV-MA,27,"['comedy', 'animation', 'romance']",['US'],6.0,tt6524350,7.9,76088.0,61.436,7.9
ts256309,Aunty Donna's Big Ol House of Fun,SHOW,"Comedy trio Aunty Donna showcase their uniquely absurd and offbeat style through an array of sketches, songs and eclectic characters.",2020,TV-MA,20,['comedy'],['AU'],1.0,tt13316746,7.9,6318.0,4.316,7.5
tm1229007,Paul Virzi: Nocturnal Admissions,MOVIE,"Comedian Paul Virzi takes the stage to spill on awkward drugstore runs, his obsession with crime shows and why his wife sabotaged his fitness goals.",2022,,65,['comedy'],[],,tt21049116,7.1,132.0,4.526,5.8
tm919210,Uma Maheswara Ugra Roopasya,MOVIE,"Defeated and humiliated in a fight while trying to defuse a conflict among his fellow villagers, a photographer vows revenge on his attacker.",2020,,136,"['comedy', 'drama']",['IN'],,tt11506054,7.7,1663.0,2.026,6.8
tm76835,Jab We Met,MOVIE,A depressed wealthy businessman and a spunky and care-free young woman embark on an unexpected journey that changes their lives.,2007,PG-13,144,"['romance', 'comedy', 'drama']",['IN'],,tt1093370,7.9,52531.0,8.69,7.4
tm459527,Good Game: The Beginning,MOVIE,New high school grad and avid gamer Cenk is recruited to an intense esports team that trains for a tournament with a life-changing prize.,2018,PG-13,104,"['comedy', 'drama', 'sport']",['TR'],,tt8510324,4.4,1841.0,2.629,2.4
tm247631,Clair Obscur,MOVIE,"Şehnaz, a young female psychiatrist from Istanbul, starts mandatory duty in a provincial town. Back in the city, she maintains a marriage that looks flawless on the outside. Elmas, a young woman on the verge of breakdown, opens a new path in her.",2017,,100,"['drama', 'european']",['TR'],,tt4373956,6.5,2468.0,2.392,6.0
tm1195428,All About Gila,MOVIE,"Popular Spanish comedians takes the stage — and pick up the phone — to honor the esteemed Miguel Gila, re-creating his most beloved stand-up performances.",2022,,76,['comedy'],[],,tt19072490,4.2,79.0,2.75,5.6
ts88166,Nailed It! Mexico,SHOW,"The fun, fondant and hilarious cake fails head to Mexico, where very amateur bakers compete to re-create elaborate sweet treats for a cash prize.",2019,TV-PG,33,['reality'],['MX'],3.0,tt9708588,6.2,308.0,4.224,7.1
tm1099320,Convergence: Courage in a Crisis,MOVIE,"Activists and volunteers work through the darkest days of 2020, galvanizing social change amidst chaos as governments start to fail local communities. This epic, globally spanning and deeply passionate documentary serves as a clarion call that great change can be born of crisis.",2021,R,113,['documentation'],"['GB', 'US']",,tt15398694,5.4,262.0,6.589,5.2
tm830833,"Hello, Privilege. It's Me, Chelsea",MOVIE,"In this documentary, Chelsea Handler explores how white privilege impacts US culture – and the ways it’s benefited her own life and career.",2019,,64,['documentation'],['US'],,tt10847138,4.5,1993.0,3.819,5.6
tm307776,Secret Superstar,MOVIE,"Insia Malik is a talented 15-year-old school girl from Baroda whose spirit is ripped because her mother is in a troubled and violent marriage. Of course she still dares to pursue her dream of becoming a singer and she also valiantly attempts to free her mother from her conservative, cold father.",2017,,150,"['drama', 'music']",['IN'],,tt6108090,7.8,24832.0,9.7,7.5
ts292446,Taarak Mehta Kka Chhota Chashmah,SHOW,The residents of Gokuldham Society encounter several adventures and misadventures as they navigate the ups and downs of life and overcome their struggles together.,2021,TV-Y,22,"['animation', 'comedy']",['IN'],1.0,tt14438518,6.6,76.0,0.747,
tm376234,The Warning,MOVIE,"After his friend is shot, Jon finds a numerical pattern behind deaths that occurred at the same location and sets out to warn the next young victim.",2018,,93,"['thriller', 'fantasy', 'crime', 'drama', 'action', 'horror', 'european']",['ES'],,tt3711510,5.9,6356.0,8.052,6.0
ts225787,Unabomber: In His Own Words,SHOW,"Anchored by a rare interview, this docuseries details Ted Kaczynski's path from a young intellectual to one of the most feared people in US history.",2020,TV-MA,44,"['crime', 'documentation']",['US'],1.0,tt11833494,7.2,3446.0,4.465,7.4
tm285317,IO,MOVIE,"As a young scientist searches for a way to save a dying Earth, she finds a connection with a man who's racing to catch the last shuttle off the planet.",2019,PG-13,96,"['scifi', 'romance', 'drama']",['US'],,tt3256226,4.7,34180.0,25.116,4.9
tm159701,Wyatt Cenac: Brooklyn,MOVIE,Standup special recorded at Union Hall in Brooklyn.,2014,,67,['comedy'],['US'],,tt4286560,6.3,231.0,1.806,6.2
ts20280,Marco Polo,SHOW,"An epic adventure that follows the early years of the famous explorer as he travels the exotic Silk Road to the great Kublai Khan’s court. But Marco soon finds that navigating the Khan’s world of greed, betrayal, sexual intrigue and rivalry will be his greatest challenge yet, even as he becomes a trusted companion to the Khan in his violent quest to become the Emperor of the World.",2014,TV-MA,55,"['action', 'drama', 'history', 'documentation']",['US'],2.0,tt2189461,8.0,71735.0,22.636,7.4
ts85451,45 RPM,SHOW,The birth of a music label and three characters fighting for their dreams inside the complex inside the music industry.,2019,TV-MA,57,"['drama', 'music']",['ES'],1.0,tt8987918,7.1,513.0,3.804,6.9
ts106536,White Lines,SHOW,"A woman tries to solve the mysterious death of her brother, a famous DJ who disappeared from Ibiza many years ago.",2020,TV-MA,55,"['drama', 'thriller', 'crime']",['GB'],1.0,tt9073958,6.6,16768.0,14.393,6.8
tm1204402,Ricky Gervais: SuperNature,MOVIE,"Follows Ricky Gervais as he gives his take on the rules of comedy, spoiling his cat and debunks the supernatural, concluding that actual nature is super enough.",2022,,64,['comedy'],['GB'],,tt19885626,7.8,3256.0,7.492,7.4
tm134791,Unfriended,MOVIE,"While video chatting one night, six high school friends receive a Skype message from a classmate who killed herself exactly one year ago. At first they think it's a prank, but when the girl starts revealing the friends' darkest secrets, they realize they are dealing with something out of this world, something that wants them dead.",2015,R,82,"['thriller', 'horror', 'drama']",['US'],,tt3713166,5.5,73854.0,26.429,5.5
ts56480,Troy: Fall of a City,SHOW,"A rich story of love, intrigue, betrayal and belonging told from the perspective of the Trojan royal family at the heart of the siege of Troy.",2018,TV-MA,58,"['action', 'war', 'fantasy', 'romance']",['GB'],1.0,tt5103758,3.9,13815.0,12.655,6.5
ts285422,Newton's Cradle,SHOW,"The two lovers, Hazem and Hana, decide to have their baby in America to get the nationality. However, they come across many obstacles that threaten their marriage, especially when Hana stays in America and does not come back.",2021,TV-14,41,"['drama', 'thriller']",['EG'],1.0,tt11703922,8.0,1641.0,3.996,8.5
tm473813,Chopsticks,MOVIE,A gifted but insecure woman is in for a transformative experience when she enlists the help of an enigmatic con artist to recover her stolen car,2019,,100,"['comedy', 'drama']",['IN'],,tt10243678,6.5,4729.0,4.727,5.9
ts95011,Move,SHOW,"The series is called MOVE and each episode brings us inside the life of a Canadian living with mental illness who has found a positive way to ""self-medicate"" through the discovery of exercise and human movement.",2018,TV-MA,48,['documentation'],['US'],1.0,tt9165300,7.4,116.0,2.664,7.0
tm215339,Ralphie May: Imperfectly Yours,MOVIE,Standup in Las Vegas.,2013,,69,"['comedy', 'documentation']",['US'],,tt3219820,5.4,154.0,2.254,5.0
ts78913,Live,SHOW,The police officers at South Korea's busiest patrol division toil day and night as keepers of law and peace -- but the reality is far from orderly.,2018,,61,"['drama', 'crime', 'comedy']",['KR'],1.0,tt7976532,8.3,1272.0,4.333,8.375
ts82160,Harvey Street Kids,SHOW,"Kids rule in a place called Harvey Street, where a trio of girls right wrongs, ice cream is always an option, and every day feels like Saturday.",2018,TV-Y7,24,"['family', 'action', 'animation', 'comedy']",['US'],4.0,tt7758552,6.7,254.0,9.06,8.5
ts237513,Ju-On: Origins,SHOW,A paranormal researcher searches obsessively for a cursed home where something terrible happened to a mother and her child long ago.,2020,TV-MA,29,"['drama', 'horror']",['JP'],1.0,tt12313914,6.1,4546.0,20.607,6.8
tm32919,Blood Diamond,MOVIE,"An ex-mercenary turned smuggler. A Mende fisherman. Amid the explosive civil war overtaking 1999 Sierra Leone, these men join for two desperate missions: recovering a rare pink diamond of immense value and rescuing the fisherman's son, conscripted as a child soldier into the brutal rebel forces ripping a swath of torture and bloodshed countrywide.",2006,R,143,"['drama', 'thriller', 'action']","['DE', 'US']",,tt0450259,8.0,541547.0,47.39,7.5
ts224786,Escalona,SHOW,"The improbable real life of Rafael Escalona, who had no music education and became Colombia's king of vallenato music, chronicling everyday life.",1991,TV-MA,44,['drama'],['CO'],1.0,,,,7.352,7.6
ts82914,Dead to Me,SHOW,A hotheaded widow searching for the hit-and-run driver who mowed down her husband befriends an eccentric optimist who isn't quite what she seems.,2019,TV-MA,31,"['thriller', 'crime', 'drama', 'comedy']",['US'],2.0,tt8064302,8.0,74989.0,26.155,7.299
ts251616,Sing On! Germany,SHOW,"In this karaoke competition hosted by Palina Rojinski, contestants must hit the right note for a chance to win up to 30,000 euros.",2020,,38,"['reality', 'music']",['DE'],1.0,tt12748264,5.5,138.0,1.597,8.7
ts315611,Animal,SHOW,"This immersive series follows the world's most magnificent creatures, capturing never-before-seen moments from the heartwarming to the outrageous.",2021,TV-PG,46,['documentation'],"['US', 'BR']",2.0,tt15674216,7.9,1181.0,4.822,8.5
tm430104,High Society,MOVIE,"The story of the journey of married couple up the social latter. The husband is professor at Seoul National University who is running for the National Assembly, and his wife is a painter.",2018,,119,"['drama', 'crime']",['KR'],,tt8865580,5.5,1018.0,8.963,5.8
tm494531,Seventeen,MOVIE,"To find a shelter dog he befriended, a 17-year-old boy escapes a juvenile detention center and is joined on his quest by his older brother.",2019,,99,"['drama', 'european']",['ES'],,tt8988832,7.2,3940.0,7.786,7.3
tm429984,Pachamama,MOVIE,A young boy living in a remote village in the Andes Mountains dreams of becoming shaman.,2018,PG,72,"['fantasy', 'family', 'animation', 'european']","['FR', 'LU', 'CA']",,tt5541002,6.8,864.0,5.619,7.1
ts252856,Challenger: The Final Flight,SHOW,"Engineers, officials and the crew members' families provide their perspective on the 1986 Space Shuttle Challenger disaster and its aftermath.",2020,TV-14,45,"['documentation', 'history']",['US'],1.0,tt12930534,7.8,6927.0,14.707,7.1
tm458553,Wine Country,MOVIE,"A group of friends head to the land of oaky Chardonnays and big, bold Cabernet Sauvignons for one member of the squad’s 50th birthday party.",2019,R,103,"['comedy', 'drama']",['US'],,tt8169446,5.4,21213.0,11.397,5.5
tm458074,"Edmilson Filho: Notas, Comedy about Relationships",MOVIE,"Brazilian comedian Edmilson Filho walks his audience through the stages of a modern relationship, playing up the differences between men and women.",2018,,79,['comedy'],['BR'],,tt9234638,4.9,22.0,1.157,5.0
tm348467,Invisible,MOVIE,"Ely is 17 years old. After school, she works few hours at a pet shop. When Ely learns that she is pregnant, her inner world explodes even though she tries to go on with her daily routine as if nothing was different. She is afraid and upset, and she knows that, whatever she decides to do, there is no turning back.",2017,,87,['drama'],"['AR', 'FR']",,tt6596630,6.0,779.0,11.565,5.8
ts88699,Northern Rescue,SHOW,"After the death of his wife, Sarah, John West, packs up his three children and moves from their hectic urban life to his small northern hometown to take command of the local search-and-rescue service. Once there, the family struggles with their new surroundings, new friends and accepting Sarah's death.",2019,TV-14,44,"['drama', 'family']",['CA'],1.0,tt8462412,6.9,4202.0,9.477,7.0
tm946360,Really Love,MOVIE,A rising black painter tries to break into a competitive art world while balancing an unexpected romance with an ambitious law student.,2020,,95,"['romance', 'drama']",['US'],,tt8722624,6.1,847.0,5.788,6.4
ts80720,Scissor Seven,SHOW,"Seeking to recover his memory, a scissor-wielding, hairdressing, bungling quasi-assassin stumbles into a struggle for power among feuding factions.",2018,TV-PG,16,"['comedy', 'drama', 'action', 'animation', 'fantasy', 'romance']",['CN'],3.0,tt11503082,8.6,311.0,82.499,8.9
ts329700,Life After Death with Tyler Henry,SHOW,Clairvoyant medium Tyler Henry offers clarity and closure from the beyond while searching through his own family's past in an intimate reality series.,2022,TV-MA,43,['reality'],['US'],1.0,tt18217272,5.9,913.0,2.222,5.5
tm882606,Sethum Aayiram Pon,MOVIE,"Meeting after many years, a makeup artist and her grandmother revisit tensions from an old family feud that still hangs heavy between them.",2019,G,102,"['drama', 'family']",['IN'],,tt8976418,7.2,349.0,1.974,6.0
tm85243,The Trailer Park Boys Xmas Special,MOVIE,"In this holiday prequel, it’s 1997 and Sunnyvale Trailer Park is getting ready for the holiday season. Julian’s got a great idea to make money this Christmas, Ricky gets confused between God and Santa, and Bubbles tries to get the Boys together for an annual Christmas bonfire.  Meanwhile, Mr. Lahey is thrilled because Christmas is the only day of the year that his wife Barb allows him to have a few drinks. Directed by series creator Mike Clattenburg, this hour-long special takes place before Jamie was J-Roc, before Randy and Lahey were a couple, and before the Shitmobile was missing a door.",2004,,57,['comedy'],['CA'],,tt0439856,8.0,3446.0,3.971,7.3
tm818502,"Live Twice, Love Once",MOVIE,A retired academic teacher tries to find the love of his youth after being diagnosed with Alzheimer's.,2019,,101,"['comedy', 'drama', 'european']",['ES'],,tt9063902,7.2,6588.0,14.209,7.5
tm983730,Amy Tan: Unintended Memoir,MOVIE,"Amy Tan has established herself as one of America’s most respected literary voices. Born to Chinese immigrant parents, it would be decades before the author of The Joy Luck Club would fully understand the inherited trauma rooted in the legacies of women who survived the Chinese tradition of concubinage.",2021,,101,['documentation'],['US'],,tt10393074,7.7,321.0,4.121,8.3
tm175364,Chhota Bheem Aur Hanuman,MOVIE,"The grouchy Makhichoos, whoe hates Diwali, is digging furiously in the Dholakpur forest searching for a demon.  Soon the demon emerges from the roots of a tree.  Both the evil witch and Makhichoos plan to build a new kingdom on the eve of Diwali and teach Bheem a lesson.  While Bheem and his friends are preparing for the celebrations, Chhota Hanuman also comes there to be a part of the festival.  But something worse happens; Makhichoos and the evil witch kidnap princess Indumati.  Will Bheem and Hanuman together rescue Indumati and triumph over the evil.",2013,G,67,"['animation', 'fantasy']",['IN'],,tt6417854,7.3,36.0,1.509,6.2
tm414340,Spivak,MOVIE,"A self-loathing, failed Eastside novelist living in the ‘hipster’ neighborhood of Echo Park in Los Angeles is shocked to find himself falling in love with everything he hates, including a simple All-American blonde girl from the Westside.",2018,,91,['comedy'],['US'],,tt6342110,5.6,754.0,2.897,5.6
tm370440,Paradox,MOVIE,A loud poem. A whimsical western tale of music and love.,2018,,73,"['western', 'fantasy', 'music']",['US'],,tt7949046,3.9,713.0,5.157,3.6
tm813423,Marjoun and the Flying Headscarf,MOVIE,"A teenager in Arkansas searches for identity in the headscarf and a motorcycle in the aftermath of her father's imprisonment. Set in 2006, the film explores the results of Arab and Muslim Americans being increasingly detained for ""guilt by association"". The film links the civil rights struggle of Arab/Muslim Americans with that of African Americans through Marjoun's attendance of Central High School. It weaves her story into the lineage of the Little Rock Nine. This film is set also at Magnolia Grove Monastery in Mississippi. This Zen Buddhist monastery has been established in the tradition of the friendship of Dr. Martin Luther King, Jr. and Zen Master Thich Nhat Hanh, bringing together the themes of civil rights movements and interfaith practice. This is an expansion of the short film by the same title, that was an official selection of the Sundance Film Festival.",2019,,84,['drama'],"['LB', 'US', 'NL', 'CA']",,tt10399342,6.8,42.0,1.61,
tm852172,Apollo 10½:  A Space Age Childhood,MOVIE,"A man narrates stories of his life as a 10-year-old boy in 1969 Houston, weaving tales of nostalgia with a fantastical account of a journey to the moon.",2022,PG-13,98,"['animation', 'scifi', 'action', 'comedy', 'romance', 'family', 'horror', 'drama']","['NL', 'US']",,tt7978758,7.3,6681.0,8.534,7.2
ts35463,Richie Rich,SHOW,"Richie Rich is a boy who turned vegetables into a clean energy source. As a result, Rich now has over a trillion dollars. Rich lives with his family in a mansion filled with toys, contraptions, and his best friends Darcy and Murray are always by his side, along with Irona, Richie's robot maid, his dad Cliff, who loves naps and is a bit dense, and his jealous sister Harper. Also, Darcy loves spending money and Murray doesn't want anything out of budget.",2015,TV-PG,23,['comedy'],['US'],2.0,tt4160920,3.0,1073.0,9.491,6.5
ts34066,Mako: Island of Secrets,SHOW,"Real-life mermaids, Sirena, Nixie and Lyla are part of a mermaid pod, which lives in the waters of Mako Island. As young members of the pod, it is their job to protect the Moon Pool and guard it from trespassers. But on the night of a full moon, the mischievous mermaid girls neglect their duties. Sixteen-year-old land-dweller Zac enters the Moon Pool and forms a special connection with Mako.

Zac is given a fish-like tail and amazing powers. The mermaid pod is forced to leave Mako, leaving behind the three mermaid girls, cast out of the pod. They know there's only one way they will be allowed to rejoin the pod: They must get legs, venture onto land and take back Zac's powers – or risk being outcasts forever.",2013,TV-G,25,"['scifi', 'action', 'family', 'fantasy', 'romance', 'comedy', 'drama']",['AU'],4.0,tt2548214,6.7,4015.0,41.013,7.6
tm841797,The Ice Road,MOVIE,"After a remote diamond mine collapses in far northern Canada, an ice road driver must lead an impossible rescue mission over a frozen ocean to save the trapped miners.",2021,PG-13,109,"['action', 'thriller', 'drama']",['US'],,tt3758814,5.6,38927.0,35.718,7.009
tm701033,Na stojáka v kině,MOVIE,Members of the comedy group Na Stojáka take the stage and the mic by storm for a special night of stand-up comedy.,2018,,90,['comedy'],['CZ'],,tt10515548,5.0,8.0,0.615,
ts237096,Trial by Media,SHOW,"In this true crime docuseries, some of the most dramatic trials of all time are examined with an emphasis on how the media may have impacted verdicts.",2020,TV-MA,62,"['crime', 'documentation']",['US'],1.0,tt11963042,7.1,3172.0,2.792,7.3
tm211510,Incarnate,MOVIE,An exorcist comes up against an evil from his past when he uses his skills to enter the mind of a nine year old boy.,2016,PG-13,19,"['horror', 'thriller']",['US'],,tt3216348,5.2,13090.0,14.911,5.4
ts82228,Cells at Work!,SHOW,"This is a story about you. A tale about the inside of your body... According to a new study, the human body consists of approximately 37 trillion cells. These cells are hard at work every day within a world that is your body. From the oxygen-carrying red blood cells to the bacteria-fighting white blood cells, get to know the unsung heroes and the drama that unfolds inside of you! It's the oddly relatable and interesting story that is the life of cells!",2018,TV-14,23,"['comedy', 'animation', 'action', 'fantasy']",['JP'],2.0,tt8673610,7.5,2270.0,16.706,8.3
tm849102,Shimla Mirchi,MOVIE,"While on holiday, Avi meets Naina and falls in love with her. Smitten, he decides to stay and work in her cafe. He confesses his love in a letter, however it's Naina's mother who mistakenly reads it.",2020,,129,"['romance', 'comedy']",['IN'],,tt4486148,4.6,1537.0,2.477,
tm1104532,Britney vs. Spears,MOVIE,Journalist Jenny Eliscu and filmmaker Erin Lee Carr investigate Britney Spears' fight for freedom by way of exclusive interviews and confidential evidence.,2021,,93,"['documentation', 'music']",['US'],,tt15469820,6.4,6924.0,6.985,7.2
tm529723,Chhota Bheem and the Broken Amulet,MOVIE,"Chhota Bheem And The Broken Amulet is an Indian animated movie featuring Bheem, the star of the Chhota Bheem series.",2012,,63,['animation'],['IN'],,tt6417816,7.7,17.0,,
tm53829,Blitz Patrollie,MOVIE,"Blitz Patrollie chronicles the adventures of Rummy Augustine (Joey Rasdien) and his partner, Ace Dikolobe (David Kau), police officers who have had the misfortune of being stationed in a little known depot in the belly of the Johannesburg CBD.",2012,,101,"['crime', 'action', 'comedy']",['US'],,tt2336284,5.4,145.0,1.96,
tm35652,Mumbai Meri Jaan,MOVIE,"Shortly after 1800 hours, 11 July 2006, Mumbai was shattered by seven bomb blasts on Western Railway stations: Matunga, Mahim, Khar, Bandra, Jogeshwari, Borivali, and Bhayandar. It took the Police and ambulance over an hour to attend at various sites. This incident changes lives of Thomas, originally from Chennai, who sells tea from his bike; Rupali Joshi, a TV News reporter, who has to deal with the death of her to-be spouse, Ajay Kumar Pradhan; Suresh, in debt, starts to suspect all Muslims, especially Yusuf; Inspector Tukaram Patil, about to retire, goes about collecting bribes as usual, much to the chagrin of his embittered, honest and soon to-be suspended subordinate, Sunil Kadam; while Nikhil Agarwal, a Nationalist and environmentalist, debates whether he should re-locate to the United States, along with his pregnant wife, Sejal.",2008,PG-13,119,['drama'],['IN'],,tt1266583,7.7,6354.0,2.955,6.9
tm430496,D.L. Hughley: Contrarian,MOVIE,"Comedian D.L. Hughley riffs on politics, ""Black Panther,"" his upbringing and more in a rapid-fire stand-up show at Philadelphia's Merriam Theater.",2018,,58,['comedy'],['US'],,tt8426270,6.5,610.0,2.29,5.2
tm175577,Flower Girl,MOVIE,"Nigerian comedy about a young woman who wants to get married, but her boyfriend is only interested in furthering his career, so she seeks help to get him to tie the knot.",2013,,94,"['comedy', 'romance']",['NG'],,tt3044926,6.0,108.0,0.628,6.0
